players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
30,27.6,48.3,35,385,3150,35,59,42,101,54,5,7,95,4,60.4,54.8,45.4,100.2,643,1433,1.69,1.2,2.89,1.54,2.74,1.73,1.3,3.02,1.56,2.86,/en/squads/2a8183b3/Villarreal-Stats
29,28.3,41.1,33,363,2970,33,31,17,48,26,5,6,46,2,35.6,30.8,23.2,54.0,483,921,0.94,0.52,1.45,0.79,1.3,1.08,0.7,1.78,0.93,1.64,/en/squads/69236f98/Angers-Stats
29,26.7,42.8,33,363,2970,33,46,34,80,42,4,5,66,4,40.4,36.8,31.5,68.3,470,1067,1.39,1.03,2.42,1.27,2.3,1.23,0.95,2.18,1.11,2.07,/en/squads/5ae09109/Auxerre-Stats
30,29.0,48.1,33,363,2970,33,52,32,84,45,7,9,64,3,44.5,37.5,28.6,66.0,456,1062,1.58,0.97,2.55,1.36,2.33,1.35,0.87,2.21,1.14,2.0,/en/squads/fb08dbb3/Brest-Stats
31,27.6,42.9,33,363,2970,33,34,20,54,27,7,8,56,4,38.9,32.4,23.6,56.0,531,1029,1.03,0.61,1.64,0.82,1.42,1.18,0.71,1.89,0.98,1.7,/en/squads/5c2737db/Le-Havre-Stats
33,27.9,54.3,33,363,2970,33,36,23,59,31,5,5,85,8,50.0,46.5,34.7,81.2,559,1413,1.09,0.7,1.79,0.94,1.64,1.52,1.05,2.57,1.41,2.46,/en/squads/fd4e0f7d/Lens-Stats
27,26.9,57.0,33,363,2970,33,50,29,79,44,6,9,77,2,52.7,46.3,34.4,80.7,642,1552,1.52,0.88,2.39,1.33,2.21,1.6,1.04,2.64,1.4,2.45,/en/squads/cb188c0c/Lille-Stats
30,28.2,56.4,33,363,2970,33,60,45,105,53,7,9,59,0,56.4,49.3,41.5,90.8,680,1559,1.82,1.36,3.18,1.61,2.97,1.71,1.26,2.96,1.5,2.75,/en/squads/d53c0b06/Lyon-Stats
32,27.5,63.4,33,363,2970,33,66,46,112,59,7,8,61,6,59.8,53.4,42.3,95.8,654,1675,2.0,1.39,3.39,1.79,3.18,1.81,1.28,3.1,1.62,2.9,/en/squads/5725cc7b/Marseille-Stats
28,25.2,55.0,33,363,2970,33,63,49,112,57,6,7,59,3,72.3,67.2,54.9,122.2,659,1609,1.91,1.48,3.39,1.73,3.21,2.19,1.66,3.86,2.04,3.7,/en/squads/fd6114db/Monaco-Stats
35,27.0,44.9,32,352,2970,33,23,13,36,20,3,4,85,7,32.7,29.6,22.6,52.2,513,1003,0.7,0.39,1.09,0.61,1.0,0.99,0.68,1.68,0.9,1.58,/en/squads/281b0e73/Montpellier-Stats
30,27.5,40.2,33,363,2970,33,36,26,62,32,4,4,68,4,36.6,33.6,26.4,60.0,485,1028,1.09,0.79,1.88,0.97,1.76,1.11,0.8,1.91,1.02,1.82,/en/squads/d7a486cd/Nantes-Stats
31,27.2,47.6,33,363,2970,33,56,39,95,51,5,5,59,5,56.7,52.8,39.8,92.7,685,1289,1.7,1.18,2.88,1.55,2.73,1.72,1.21,2.93,1.6,2.81,/en/squads/132ebc33/Nice-Stats
28,24.4,68.1,33,363,2970,33,86,66,152,80,6,6,36,0,85.8,81.0,68.7,149.7,908,2053,2.61,2.0,4.61,2.42,4.42,2.6,2.08,4.68,2.46,4.54,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
34,25.3,44.7,33,363,2970,33,31,18,49,30,1,2,65,6,37.3,35.8,26.4,62.1,581,1143,0.94,0.55,1.48,0.91,1.45,1.13,0.8,1.93,1.08,1.88,/en/squads/7fdd64e0/Reims-Stats
35,25.9,51.2,33,363,2970,33,49,30,79,44,5,8,64,2,47.3,41.5,28.4,69.8,644,1417,1.48,0.91,2.39,1.33,2.24,1.43,0.86,2.29,1.26,2.12,/en/squads/b3072e00/Rennes-Stats
32,26.6,46.8,32,352,2970,33,35,25,60,32,3,4,59,2,35.0,31.9,23.7,55.5,504,1190,1.06,0.76,1.82,0.97,1.73,1.06,0.72,1.78,0.97,1.68,/en/squads/d298ef2c/Saint-Etienne-Stats
30,22.2,50.2,33,363,2970,33,52,42,94,50,2,2,68,2,47.7,46.1,37.4,83.6,546,1169,1.58,1.27,2.85,1.52,2.79,1.45,1.13,2.58,1.4,2.53,/en/squads/c0d3eab4/Strasbourg-Stats
27,26.0,45.0,33,363,2970,33,39,31,70,36,3,4,52,3,46.0,42.8,31.5,74.3,518,1175,1.18,0.94,2.12,1.09,2.03,1.39,0.95,2.35,1.3,2.25,/en/squads/3f8c4b5f/Toulouse-Stats
29,27.6,43.8,33,363,2970,33,34,25,59,33,1,2,78,5,33.0,31.4,23.7,55.1,441,1111,1.03,0.76,1.79,1.0,1.76,1.0,0.72,1.72,0.95,1.67,/en/squads/0cdc4311/Augsburg-Stats
29,28.5,67.9,33,363,2970,33,92,63,155,83,9,10,48,1,80.3,72.5,58.4,131.0,802,2086,2.79,1.91,4.7,2.52,4.42,2.43,1.77,4.2,2.2,3.97,/en/squads/054efa67/Bayern-Munich-Stats
26,28.8,45.6,33,363,2970,33,30,22,52,29,1,3,71,2,40.5,38.0,28.9,66.9,368,1058,0.91,0.67,1.58,0.88,1.55,1.23,0.88,2.1,1.15,2.03,/en/squads/b42c6323/Bochum-Stats
28,27.4,58.4,33,363,2970,33,66,54,120,62,4,5,68,6,58.7,54.9,46.3,101.2,664,1490,2.0,1.64,3.64,1.88,3.52,1.78,1.4,3.18,1.66,3.07,/en/squads/add600ae/Dortmund-Stats
26,25.7,50.0,33,363,2970,33,65,44,109,62,3,5,51,1,63.1,59.4,43.4,102.9,576,1329,1.97,1.33,3.3,1.88,3.21,1.91,1.32,3.23,1.8,3.12,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
26,27.9,48.4,33,363,2970,33,45,34,79,45,0,4,52,2,43.5,40.4,29.9,70.3,432,1103,1.36,1.03,2.39,1.36,2.39,1.32,0.91,2.23,1.23,2.13,/en/squads/a486e511/Freiburg-Stats
26,27.3,49.3,33,363,2970,33,53,39,92,49,4,5,53,3,49.6,45.6,36.9,82.5,500,1058,1.61,1.18,2.79,1.48,2.67,1.5,1.12,2.62,1.38,2.5,/en/squads/32f3ee20/Monchengladbach-Stats
27,27.6,43.2,33,363,2970,33,36,25,61,31,5,5,63,1,38.7,34.7,27.4,62.1,498,928,1.09,0.76,1.85,0.94,1.7,1.17,0.83,2.0,1.05,1.88,/en/squads/18d9d2a7/Heidenheim-Stats
34,27.2,49.2,33,363,2970,33,46,30,76,43,3,3,66,2,42.2,39.9,32.3,72.2,474,1192,1.39,0.91,2.3,1.3,2.21,1.28,0.98,2.26,1.21,2.19,/en/squads/033ea6b8/Hoffenheim-Stats
27,26.4,44.1,33,363,2970,33,49,29,78,45,4,5,76,3,39.1,35.1,26.0,61.1,355,862,1.48,0.88,2.36,1.36,2.24,1.18,0.79,1.97,1.06,1.85,/en/squads/2ac661d9/Holstein-Kiel-Stats
23,27.8,59.4,33,363,2970,33,68,52,120,66,2,5,56,1,55.6,51.6,41.6,93.2,681,1678,2.06,1.58,3.64,2.0,3.58,1.69,1.26,2.95,1.56,2.82,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
25,28.2,50.4,33,363,2970,33,51,36,87,48,3,3,69,5,47.1,44.8,36.7,81.4,456,1249,1.55,1.09,2.64,1.45,2.55,1.43,1.11,2.54,1.36,2.47,/en/squads/a224b06a/Mainz-05-Stats
29,26.1,52.3,33,363,2970,33,49,35,84,46,3,4,67,5,45.5,42.3,34.9,77.2,497,1311,1.48,1.06,2.55,1.39,2.45,1.38,1.06,2.43,1.28,2.34,/en/squads/acbb6a5b/RB-Leipzig-Stats
28,27.7,43.8,33,363,2970,33,26,22,48,25,1,2,53,4,34.5,32.9,25.7,58.6,397,1035,0.79,0.67,1.45,0.76,1.42,1.05,0.78,1.82,1.0,1.77,/en/squads/54864664/St-Pauli-Stats
28,25.7,57.4,33,363,2970,33,58,43,101,56,2,6,72,5,59.7,55.1,43.4,98.5,532,1465,1.76,1.3,3.06,1.7,3.0,1.81,1.31,3.12,1.67,2.98,/en/squads/598bc722/Stuttgart-Stats
